Electronics,Programming,Database,Data Science,Mathematics,DSA,Student Name
83,23,1,21,10,2,Student1583
49,51,6,62,99,25,Student1584
87,41,20,23,87,75,Student1585
41,30,25,89,42,31,Student1586
81,47,63,25,17,29,Student1587
7,31,28,99,62,36,Student1588
33,94,60,85,55,8,Student1589
45,91,53,76,45,55,Student1590
82,89,31,56,71,20,Student1591
99,9,4,92,78,98,Student1592
16,22,65,13,1,29,Student1593
82,1,25,91,90,83,Student1594
75,46,95,92,61,86,Student1595
46,100,88,52,45,62,Student1596
85,12,88,78,54,15,Student1597
95,48,51,41,86,57,Student1598
69,96,41,33,63,65,Student1599
26,71,4,85,51,30,Student1600
69,28,82,20,80,0,Student1601
1,36,5,39,22,20,Student1602
74,73,9,56,84,97,Student1603
85,64,87,43,52,81,Student1604
65,19,86,83,94,9,Student1605
64,14,96,46,62,26,Student1606
37,68,35,80,46,28,Student1607
71,47,80,84,62,17,Student1608
70,68,89,17,6,71,Student1609
63,62,21,27,59,60,Student1610
18,69,42,55,73,26,Student1611
27,24,66,19,30,50,Student1612
66,14,84,75,41,24,Student1613
86,92,60,23,89,76,Student1614
60,59,33,38,20,43,Student1615
20,39,92,16,1,45,Student1616
51,11,3,7,21,12,Student1617
51,64,46,11,59,60,Student1618
8,73,39,49,61,69,Student1619
94,49,66,46,22,41,Student1620
42,69,94,20,1,51,Student1621
30,80,98,25,43,8,Student1622
26,6,90,34,85,46,Student1623
15,80,16,36,34,20,Student1624
31,92,2,25,93,100,Student1625
10,31,30,74,62,53,Student1626
68,1,41,61,28,69,Student1627
84,14,16,7,22,92,Student1628
14,1,47,64,99,7,Student1629
99,18,21,30,27,76,Student1630
36,81,92,12,60,43,Student1631
86,23,68,90,64,12,Student1632
50,51,54,47,21,40,Student1633
69,58,35,11,53,49,Student1634
38,46,94,13,71,88,Student1635
23,3,62,83,62,72,Student1636
2,33,26,66,49,92,Student1637
88,32,47,73,81,76,Student1638
64,20,12,41,68,34,Student1639
56,81,54,100,72,74,Student1640
85,72,20,71,13,100,Student1641
66,67,63,81,21,80,Student1642
91,44,61,18,77,30,Student1643
19,90,74,25,81,15,Student1644
34,99,16,35,60,41,Student1645
82,17,20,63,97,12,Student1646
22,10,71,99,26,30,Student1647
67,69,86,41,80,23,Student1648
95,59,59,87,32,68,Student1649
37,86,27,3,55,75,Student1650
33,78,76,93,56,82,Student1651
43,17,92,50,8,36,Student1652
80,76,41,58,17,7,Student1653
65,25,37,54,12,71,Student1654
39,27,51,79,14,69,Student1655
67,51,7,77,38,26,Student1656
96,35,8,84,39,91,Student1657
15,51,70,86,8,98,Student1658
84,1,82,40,23,97,Student1659
4,19,87,49,85,45,Student1660
30,22,63,77,59,49,Student1661
63,57,0,70,93,48,Student1662
45,86,90,65,45,67,Student1663
81,31,63,10,28,10,Student1664
66,90,61,21,97,26,Student1665
3,14,4,91,20,49,Student1666
15,23,15,87,99,75,Student1667
3,46,22,63,35,55,Student1668
67,50,47,0,57,33,Student1669
67,46,70,15,45,13,Student1670
37,88,39,75,78,11,Student1671
88,63,17,71,28,22,Student1672
61,78,70,7,82,93,Student1673
31,61,8,0,54,72,Student1674
83,57,4,86,85,45,Student1675
93,47,19,24,18,48,Student1676
39,85,73,75,43,31,Student1677
1,75,4,61,9,47,Student1678
24,81,43,88,73,26,Student1679
69,57,63,29,23,60,Student1680
84,41,28,0,96,85,Student1681
55,60,17,5,29,24,Student1682
27,9,95,71,54,19,Student1683
38,21,6,95,43,62,Student1684
83,14,34,76,33,45,Student1685
16,19,4,89,7,75,Student1686
23,100,8,39,5,86,Student1687
34,68,22,93,37,78,Student1688
22,77,43,95,2,17,Student1689
89,87,15,89,51,64,Student1690
69,99,55,33,69,2,Student1691
61,35,86,56,43,7,Student1692
77,56,37,89,46,80,Student1693
28,18,21,34,73,58,Student1694
84,80,58,38,2,38,Student1695
86,61,38,76,55,69,Student1696
81,9,96,54,27,39,Student1697
84,18,13,57,57,64,Student1698
45,50,67,57,67,2,Student1699
55,32,88,91,53,7,Student1700
24,96,15,73,84,38,Student1701
2,44,4,25,56,26,Student1702
9,60,35,63,18,95,Student1703
16,66,17,42,49,87,Student1704
49,53,54,31,36,29,Student1705
19,16,25,27,3,26,Student1706
16,59,10,60,75,73,Student1707
80,62,27,51,86,79,Student1708
41,73,54,94,23,82,Student1709
73,28,70,39,10,69,Student1710
59,86,45,0,92,99,Student1711
74,90,23,41,85,21,Student1712
95,2,10,12,14,31,Student1713
44,3,83,11,63,26,Student1714
32,97,12,36,5,9,Student1715
91,86,29,44,97,38,Student1716
48,72,36,54,85,45,Student1717
7,24,43,35,21,27,Student1718
1,48,89,73,13,86,Student1719
37,81,93,29,82,21,Student1720
94,88,52,46,44,44,Student1721
48,25,18,16,49,82,Student1722
71,82,59,1,65,7,Student1723
39,3,61,59,65,56,Student1724
81,95,93,50,65,58,Student1725
54,5,84,28,57,50,Student1726
25,17,37,80,54,95,Student1727
51,48,41,76,91,75,Student1728
6,7,40,26,57,84,Student1729
31,78,14,37,6,72,Student1730
95,76,38,25,1,10,Student1731
62,25,29,68,2,71,Student1732
69,11,21,53,80,72,Student1733
6,10,89,14,21,41,Student1734
13,24,3,45,49,64,Student1735
38,39,39,88,99,34,Student1736
28,93,46,97,68,69,Student1737
80,24,81,26,32,38,Student1738
71,85,9,74,36,96,Student1739
42,27,67,4,0,28,Student1740
31,75,73,42,86,31,Student1741
7,99,31,9,11,19,Student1742
33,14,39,26,76,54,Student1743
17,6,68,79,63,70,Student1744
60,59,31,26,71,24,Student1745
97,44,12,47,76,11,Student1746
4,40,49,42,51,87,Student1747
69,80,90,51,16,55,Student1748
94,60,51,84,51,73,Student1749
84,35,73,83,48,44,Student1750
82,90,8,34,44,77,Student1751
72,90,19,40,0,6,Student1752
87,20,19,90,65,48,Student1753
84,87,90,33,87,9,Student1754
57,32,85,15,3,44,Student1755
23,21,4,63,75,47,Student1756
93,14,28,79,95,8,Student1757
69,33,62,74,66,51,Student1758
11,36,92,85,75,45,Student1759
86,31,6,4,10,17,Student1760
78,79,49,40,12,49,Student1761
94,25,17,92,0,16,Student1762
17,71,5,73,24,14,Student1763
87,35,87,38,92,29,Student1764
55,4,56,43,44,51,Student1765
49,6,4,91,96,34,Student1766
60,54,68,9,17,81,Student1767
84,70,26,16,22,97,Student1768
33,61,36,49,94,44,Student1769
14,96,44,32,51,15,Student1770
64,68,37,61,51,88,Student1771
31,45,33,9,75,44,Student1772
84,29,8,44,19,83,Student1773
8,73,8,11,16,55,Student1774
3,10,92,45,64,79,Student1775
90,17,90,85,7,24,Student1776
6,20,55,32,27,90,Student1777
91,93,0,34,75,30,Student1778
30,87,95,98,29,21,Student1779
79,45,13,95,87,16,Student1780
0,81,21,35,2,49,Student1781
83,29,98,55,52,68,Student1782
38,71,40,74,70,99,Student1783
39,9,88,21,8,12,Student1784
10,86,90,88,5,81,Student1785
78,32,66,52,77,3,Student1786
40,6,41,30,94,66,Student1787
64,73,40,36,11,16,Student1788
43,6,87,37,75,86,Student1789
42,99,91,63,31,3,Student1790
58,82,42,6,45,85,Student1791
54,6,15,32,69,82,Student1792
34,3,28,51,53,88,Student1793
81,16,37,49,55,26,Student1794
49,29,38,80,19,68,Student1795
24,3,58,73,98,51,Student1796
54,12,35,100,4,76,Student1797
51,73,66,36,72,80,Student1798
10,72,3,92,45,61,Student1799
44,86,13,14,53,61,Student1800
88,37,20,44,65,98,Student1801
55,66,19,56,73,52,Student1802
81,57,24,69,48,15,Student1803
56,94,61,69,72,32,Student1804
20,62,37,48,18,64,Student1805
0,25,46,4,77,38,Student1806
80,1,46,90,68,19,Student1807
18,38,24,58,3,77,Student1808
28,60,100,97,49,22,Student1809
98,66,72,21,31,44,Student1810
87,58,32,8,53,80,Student1811
10,59,64,21,89,41,Student1812
15,68,2,98,65,49,Student1813
84,6,49,50,42,1,Student1814
68,81,57,95,17,80,Student1815
88,0,22,79,86,57,Student1816
81,40,10,43,92,48,Student1817
73,67,4,34,90,39,Student1818
58,28,33,54,64,90,Student1819
21,91,25,8,58,65,Student1820
14,59,59,94,69,34,Student1821
70,7,81,33,14,12,Student1822
26,28,70,75,15,93,Student1823
5,100,87,27,66,64,Student1824
23,72,26,15,57,40,Student1825
38,65,99,45,16,60,Student1826
61,10,25,50,66,36,Student1827
81,99,53,61,5,53,Student1828
30,98,97,25,26,69,Student1829
79,9,33,79,80,26,Student1830
76,12,45,86,90,20,Student1831
33,95,76,60,65,1,Student1832
38,15,48,24,47,14,Student1833
55,71,50,10,27,52,Student1834
9,53,35,52,37,17,Student1835
24,83,25,45,61,42,Student1836
26,95,0,60,94,92,Student1837
51,41,47,38,45,26,Student1838
35,99,40,91,16,67,Student1839
46,14,83,18,64,27,Student1840
84,80,78,27,73,36,Student1841
32,11,66,59,50,84,Student1842
83,43,15,62,49,85,Student1843
72,61,34,19,15,91,Student1844
69,28,0,80,67,76,Student1845
2,50,0,63,18,30,Student1846
53,94,19,72,26,65,Student1847
85,70,41,17,80,24,Student1848
46,66,50,59,43,8,Student1849
40,81,38,43,29,66,Student1850
83,75,68,38,86,7,Student1851
86,63,33,21,64,77,Student1852
47,72,47,55,82,74,Student1853
81,23,30,81,18,90,Student1854
44,63,12,19,5,62,Student1855
91,47,62,72,44,70,Student1856
18,61,11,66,6,21,Student1857
86,35,56,95,16,45,Student1858
20,85,62,10,44,70,Student1859
4,11,44,99,38,99,Student1860
2,79,95,22,47,62,Student1861
59,41,46,96,38,63,Student1862
86,9,2,20,6,13,Student1863
49,1,28,1,60,24,Student1864
25,40,49,88,74,50,Student1865
14,78,37,26,8,6,Student1866
16,60,69,39,80,92,Student1867
61,53,14,47,96,38,Student1868
85,16,10,86,19,55,Student1869
79,23,1,77,54,47,Student1870
32,18,55,67,39,88,Student1871
71,88,15,36,66,58,Student1872
60,61,37,12,40,79,Student1873
63,18,95,34,64,95,Student1874
10,15,1,94,7,65,Student1875
46,97,33,24,26,3,Student1876
43,73,25,65,99,34,Student1877
91,42,89,44,74,84,Student1878
61,18,23,4,60,15,Student1879
64,96,0,17,23,64,Student1880
94,79,41,2,11,72,Student1881
27,83,81,13,38,10,Student1882
6,79,93,55,87,84,Student1883
82,93,57,51,80,38,Student1884
35,12,73,61,72,24,Student1885
42,97,88,12,7,87,Student1886
47,73,84,54,32,27,Student1887
68,58,91,73,34,75,Student1888
73,83,81,45,49,50,Student1889
15,47,68,42,75,62,Student1890
52,67,39,89,29,30,Student1891
66,60,90,17,97,91,Student1892
26,45,85,74,76,56,Student1893
71,30,99,51,73,42,Student1894
56,23,88,45,64,78,Student1895
79,53,15,14,49,20,Student1896
34,56,19,79,65,93,Student1897
80,44,82,95,14,40,Student1898
66,33,37,76,40,27,Student1899
86,11,67,85,51,25,Student1900
34,48,69,72,45,21,Student1901
7,69,57,92,68,40,Student1902
51,99,84,90,93,83,Student1903
59,91,59,56,38,12,Student1904
31,34,49,34,73,89,Student1905
91,16,53,25,43,64,Student1906
13,50,4,71,95,60,Student1907
47,13,51,63,59,19,Student1908
54,61,92,94,88,14,Student1909
86,89,89,89,80,100,Student1910
14,78,2,57,89,53,Student1911
11,18,77,8,17,57,Student1912
8,92,78,50,29,28,Student1913
40,82,31,18,32,0,Student1914
46,82,65,8,33,27,Student1915
80,69,60,32,88,62,Student1916
30,7,93,25,57,20,Student1917
5,89,59,61,86,93,Student1918
14,13,29,82,38,40,Student1919
6,29,85,64,30,35,Student1920
34,37,54,97,95,49,Student1921
59,97,24,40,70,32,Student1922
51,53,76,32,64,7,Student1923
14,53,47,95,65,4,Student1924
45,25,44,53,80,78,Student1925
16,84,30,8,29,41,Student1926
61,82,54,89,44,37,Student1927
71,12,62,72,68,29,Student1928
63,49,94,68,66,34,Student1929
69,85,46,0,11,90,Student1930
90,89,3,51,38,38,Student1931
39,40,15,12,75,70,Student1932
81,55,74,23,89,34,Student1933
25,31,84,53,29,100,Student1934
39,40,55,4,16,85,Student1935
66,63,64,99,62,58,Student1936
48,56,45,47,62,19,Student1937
76,71,83,68,67,87,Student1938
78,49,83,8,52,99,Student1939
70,6,41,21,84,66,Student1940
100,31,7,50,62,47,Student1941
26,18,93,57,54,11,Student1942
54,88,3,31,48,95,Student1943
38,99,87,93,31,31,Student1944
9,64,47,24,82,26,Student1945
0,13,71,37,0,2,Student1946
98,91,62,29,5,97,Student1947
99,90,0,0,91,94,Student1948
98,47,78,68,8,32,Student1949
7,76,45,5,18,80,Student1950
30,22,4,4,90,23,Student1951
15,88,67,76,7,31,Student1952
11,62,61,44,59,59,Student1953
0,15,100,52,70,4,Student1954
30,87,94,64,54,37,Student1955
20,30,91,79,82,73,Student1956
14,2,80,50,89,98,Student1957
77,28,9,0,2,45,Student1958
88,63,65,55,96,8,Student1959
37,67,4,1,72,5,Student1960
97,53,99,7,91,4,Student1961
24,16,50,67,35,67,Student1962
86,22,78,20,60,0,Student1963
6,36,66,100,14,86,Student1964
0,58,48,4,22,86,Student1965
42,50,68,7,37,67,Student1966
50,2,17,19,65,79,Student1967
17,50,52,90,24,91,Student1968
91,86,90,66,42,67,Student1969
0,1,90,58,12,2,Student1970
42,31,54,85,23,34,Student1971
74,6,58,71,12,15,Student1972
93,1,64,82,0,22,Student1973
100,98,93,39,0,10,Student1974
46,65,95,62,50,17,Student1975
83,49,89,60,80,9,Student1976
52,55,16,98,44,51,Student1977
76,93,94,3,40,48,Student1978
80,85,28,41,53,13,Student1979
66,41,100,17,29,30,Student1980
70,65,84,30,30,12,Student1981
22,80,69,97,87,36,Student1982
12,9,69,94,2,26,Student1983
64,3,94,67,81,70,Student1984
88,38,37,86,95,5,Student1985
35,42,31,55,31,20,Student1986
39,11,11,81,18,74,Student1987
60,77,41,26,21,52,Student1988
43,96,58,3,41,72,Student1989
20,33,50,62,26,59,Student1990
7,5,79,85,56,78,Student1991
25,85,86,20,100,91,Student1992
69,95,49,55,87,45,Student1993
78,62,33,80,100,49,Student1994
42,89,58,17,94,98,Student1995
56,25,60,87,39,96,Student1996
98,14,93,46,84,53,Student1997
87,83,47,56,56,31,Student1998
78,83,11,21,34,10,Student1999
19,45,93,100,91,78,Student2000
88,41,54,85,65,82,Student2001
20,31,95,53,6,2,Student2002
69,15,83,34,77,74,Student2003
89,65,58,37,57,73,Student2004
43,59,4,54,10,29,Student2005
97,21,24,24,8,21,Student2006
1,12,12,6,25,53,Student2007
23,17,39,21,32,43,Student2008
79,60,99,17,83,37,Student2009
31,30,96,26,88,43,Student2010
66,38,67,55,99,15,Student2011
26,49,92,45,38,22,Student2012
94,53,50,73,43,50,Student2013
84,24,6,21,68,75,Student2014
63,85,7,57,71,30,Student2015
22,88,49,9,45,84,Student2016
17,74,27,23,41,44,Student2017
90,94,99,91,9,75,Student2018
48,78,4,64,90,100,Student2019
88,54,91,68,24,48,Student2020
73,45,76,5,86,67,Student2021
47,87,31,56,32,23,Student2022
49,81,30,96,54,2,Student2023
96,34,59,62,71,52,Student2024
82,22,43,45,34,76,Student2025
23,29,60,22,73,85,Student2026
38,1,47,11,59,69,Student2027
16,80,90,12,50,24,Student2028
14,58,88,11,70,87,Student2029
92,94,78,40,21,78,Student2030
72,38,21,83,17,90,Student2031
50,66,1,20,88,86,Student2032
20,97,75,98,52,35,Student2033
0,82,4,10,2,53,Student2034
32,85,24,42,91,4,Student2035
30,54,28,68,75,70,Student2036
48,21,66,0,43,30,Student2037
56,17,83,0,44,95,Student2038
24,67,25,71,10,59,Student2039
47,11,51,59,41,77,Student2040
26,65,47,99,58,75,Student2041
28,34,25,52,6,35,Student2042
71,6,27,20,72,76,Student2043
56,94,21,47,79,79,Student2044
40,12,76,98,80,49,Student2045
95,100,41,46,43,29,Student2046
66,32,28,89,22,57,Student2047
87,22,94,13,70,98,Student2048
46,45,78,40,33,11,Student2049
80,27,69,76,13,26,Student2050
80,99,48,26,62,18,Student2051
64,58,41,57,83,5,Student2052
73,30,74,19,87,75,Student2053
37,79,34,13,92,54,Student2054
57,49,4,78,97,46,Student2055
36,64,30,18,93,13,Student2056
85,13,83,7,97,59,Student2057
45,84,92,54,64,69,Student2058
88,25,37,80,96,82,Student2059
41,22,65,78,79,76,Student2060
25,33,79,3,79,70,Student2061
39,46,84,37,89,84,Student2062
20,82,75,18,60,7,Student2063
14,36,47,86,51,97,Student2064
12,2,40,39,10,89,Student2065
99,83,27,23,92,38,Student2066
88,60,36,7,3,78,Student2067
100,68,100,71,44,39,Student2068
38,14,87,5,7,74,Student2069
49,43,57,56,42,54,Student2070
21,79,37,21,49,37,Student2071
87,14,13,96,1,33,Student2072
99,100,9,38,31,13,Student2073
33,24,64,89,78,42,Student2074
19,95,3,69,83,93,Student2075
34,21,68,71,18,56,Student2076
80,61,36,65,85,10,Student2077
63,83,24,74,2,47,Student2078
98,42,36,68,84,54,Student2079
24,92,73,7,26,47,Student2080
44,56,49,22,93,90,Student2081
19,45,14,28,62,93,Student2082
76,90,59,95,27,3,Student2083
52,45,53,38,19,25,Student2084
50,41,57,15,75,16,Student2085
55,59,10,78,55,4,Student2086
65,25,4,43,38,15,Student2087
18,22,35,17,53,84,Student2088
45,32,72,89,48,5,Student2089
57,64,71,1,33,35,Student2090
41,41,21,84,87,71,Student2091
5,56,52,99,13,69,Student2092
71,58,93,4,12,32,Student2093
64,25,89,26,5,89,Student2094
37,14,63,9,58,84,Student2095
3,6,100,64,47,18,Student2096
8,87,24,77,54,42,Student2097
35,22,100,11,72,65,Student2098
88,60,65,48,94,11,Student2099
26,77,43,38,44,0,Student2100
31,44,41,12,29,39,Student2101
71,77,78,30,59,92,Student2102
37,38,14,81,69,48,Student2103
65,78,81,98,8,70,Student2104
67,3,39,23,36,76,Student2105
38,62,76,27,20,50,Student2106
34,30,70,11,46,69,Student2107
36,43,91,88,72,88,Student2108
96,82,75,80,62,19,Student2109
32,57,18,6,100,75,Student2110
5,39,19,43,20,41,Student2111
2,10,6,44,54,4,Student2112
69,94,52,95,47,21,Student2113
61,49,5,96,3,6,Student2114
46,17,47,7,93,61,Student2115
78,40,99,50,12,35,Student2116
27,67,2,43,90,22,Student2117
45,23,31,67,43,31,Student2118
0,35,90,52,66,91,Student2119
28,82,44,33,66,12,Student2120
86,58,58,13,23,30,Student2121
6,55,76,49,9,47,Student2122
4,81,75,68,33,49,Student2123
16,72,17,65,30,62,Student2124
34,68,23,91,57,100,Student2125
31,6,8,43,92,81,Student2126
31,82,41,16,22,4,Student2127
31,5,31,76,1,8,Student2128
31,16,85,6,51,91,Student2129
32,47,62,79,65,98,Student2130
68,9,64,87,53,16,Student2131
50,93,32,2,64,18,Student2132
30,40,30,8,47,96,Student2133
83,14,88,96,58,74,Student2134
5,2,55,67,95,94,Student2135
7,55,76,89,45,2,Student2136
43,43,15,97,24,13,Student2137
99,36,1,42,54,72,Student2138
53,20,34,1,24,34,Student2139
24,10,45,72,70,73,Student2140
19,23,11,42,67,5,Student2141
68,99,35,78,41,29,Student2142
27,87,63,32,43,58,Student2143
9,43,47,0,66,22,Student2144
67,55,59,49,20,61,Student2145
41,58,45,79,96,65,Student2146
18,8,34,85,41,80,Student2147
63,60,76,54,71,43,Student2148
6,4,32,81,100,17,Student2149
14,54,91,45,55,88,Student2150
30,64,8,73,26,48,Student2151
53,79,27,82,55,46,Student2152
51,93,55,91,81,50,Student2153
91,22,79,73,60,63,Student2154
56,83,85,18,58,36,Student2155
60,68,25,79,9,17,Student2156
26,65,62,76,80,59,Student2157
65,47,56,11,51,28,Student2158
17,37,99,3,21,59,Student2159
100,41,56,95,19,81,Student2160
87,37,99,30,34,11,Student2161
62,17,69,91,40,54,Student2162
48,9,66,0,59,14,Student2163
29,33,54,84,6,3,Student2164
10,91,12,96,100,93,Student2165
28,58,91,41,97,67,Student2166
89,16,29,31,16,36,Student2167
46,85,24,84,94,2,Student2168
95,25,63,76,15,50,Student2169
8,59,55,80,62,43,Student2170
65,48,7,59,24,93,Student2171
69,55,0,67,32,93,Student2172
100,60,47,69,45,11,Student2173
21,23,9,36,63,45,Student2174
47,97,35,16,54,98,Student2175
71,80,78,11,1,42,Student2176
60,89,39,9,81,90,Student2177
54,52,52,17,32,41,Student2178
62,96,34,74,32,76,Student2179
12,2,72,80,28,44,Student2180
49,74,43,30,48,63,Student2181
80,4,66,81,43,1,Student2182
95,57,39,41,42,94,Student2183
16,97,63,46,87,99,Student2184
54,52,62,94,91,54,Student2185
3,45,10,69,18,66,Student2186
1,26,40,92,43,9,Student2187
54,93,0,73,60,36,Student2188
81,78,85,67,75,43,Student2189
71,53,77,73,73,75,Student2190
73,21,80,100,23,82,Student2191
72,23,36,17,44,37,Student2192
82,25,69,3,13,37,Student2193
2,48,46,46,14,28,Student2194
5,93,66,53,78,56,Student2195
21,24,55,19,17,17,Student2196
90,16,48,15,38,27,Student2197
87,36,17,93,60,90,Student2198
80,76,46,83,69,62,Student2199
17,25,89,20,44,23,Student2200
78,64,80,71,45,24,Student2201
10,14,47,45,11,21,Student2202
35,67,55,23,90,44,Student2203
10,30,31,51,2,89,Student2204
89,87,17,68,7,50,Student2205
28,56,96,40,48,87,Student2206
76,1,83,6,58,85,Student2207
54,22,23,38,13,46,Student2208
58,68,99,85,94,54,Student2209
5,16,24,67,99,18,Student2210
2,64,35,71,63,39,Student2211
90,86,16,94,43,89,Student2212
74,47,100,93,4,54,Student2213
97,72,84,24,87,32,Student2214
72,62,46,98,49,83,Student2215
90,16,91,54,61,51,Student2216
14,78,100,85,11,7,Student2217
89,13,90,61,36,70,Student2218
59,25,77,23,96,52,Student2219
89,3,50,20,13,85,Student2220
82,10,45,67,7,57,Student2221
95,86,69,92,60,52,Student2222
92,48,17,0,85,1,Student2223
51,3,73,80,73,84,Student2224
51,85,9,38,97,44,Student2225
54,65,50,60,26,11,Student2226
75,74,96,8,83,50,Student2227
29,8,41,70,85,2,Student2228
8,75,31,83,60,10,Student2229
70,58,43,57,92,16,Student2230
18,45,6,59,30,54,Student2231
16,51,99,29,63,68,Student2232
13,40,42,67,51,86,Student2233
59,42,96,64,38,92,Student2234
32,89,85,14,48,65,Student2235
44,80,0,17,87,96,Student2236
44,62,51,58,37,25,Student2237
19,49,78,72,73,89,Student2238
9,0,91,79,38,88,Student2239
68,91,88,31,78,79,Student2240
53,91,39,80,54,6,Student2241
36,62,61,20,88,27,Student2242
63,91,57,49,61,46,Student2243
7,48,54,4,44,21,Student2244
76,27,57,81,94,12,Student2245
57,32,10,95,27,24,Student2246
21,61,25,0,35,51,Student2247
98,5,26,46,36,29,Student2248
75,38,48,94,75,33,Student2249
7,58,40,71,63,20,Student2250
83,5,78,75,15,54,Student2251
92,9,71,98,39,20,Student2252
32,7,59,25,51,59,Student2253
51,9,96,2,64,60,Student2254
39,78,81,38,4,92,Student2255
48,18,22,7,7,2,Student2256
49,61,90,62,9,9,Student2257
5,90,18,2,40,55,Student2258
35,99,44,45,74,8,Student2259
80,99,21,86,47,5,Student2260
11,56,67,37,83,9,Student2261
81,13,60,68,25,85,Student2262
60,88,63,71,22,79,Student2263
46,19,41,73,86,92,Student2264
80,100,50,40,35,16,Student2265
26,15,65,85,23,82,Student2266
17,40,53,49,78,47,Student2267
25,38,97,91,63,91,Student2268
78,52,59,12,13,41,Student2269
62,82,57,15,53,6,Student2270
81,45,90,82,17,84,Student2271
15,65,56,83,83,27,Student2272
100,72,89,83,8,66,Student2273
64,46,95,41,51,1,Student2274
55,52,7,92,55,2,Student2275
98,36,56,4,98,74,Student2276
86,52,64,35,76,20,Student2277
24,27,42,14,6,37,Student2278
22,34,51,80,53,78,Student2279
38,97,76,49,82,33,Student2280
73,40,39,17,90,25,Student2281
5,32,19,89,6,24,Student2282
28,76,64,10,75,53,Student2283
30,64,70,12,28,36,Student2284
96,86,82,84,75,52,Student2285
13,76,50,58,43,26,Student2286
39,97,16,18,94,51,Student2287
11,34,23,30,12,98,Student2288
19,44,69,67,54,92,Student2289
86,70,14,96,90,24,Student2290
66,25,76,73,87,93,Student2291
59,89,32,86,70,99,Student2292
67,46,72,24,3,61,Student2293
10,46,96,71,82,14,Student2294
24,59,96,34,77,5,Student2295
6,89,99,89,41,24,Student2296
89,100,47,19,38,61,Student2297
96,27,58,4,51,12,Student2298
7,69,58,33,44,65,Student2299
100,28,84,79,14,38,Student2300
94,94,93,54,44,94,Student2301
34,12,76,63,97,55,Student2302
99,91,6,81,61,53,Student2303
65,84,27,28,66,100,Student2304
92,39,2,61,74,36,Student2305
74,34,49,3,44,55,Student2306
11,70,89,8,15,69,Student2307
33,12,50,73,63,5,Student2308
11,6,27,34,87,88,Student2309
89,51,24,71,6,89,Student2310
91,71,82,67,71,90,Student2311
45,82,90,36,89,73,Student2312
98,98,16,83,72,97,Student2313
61,33,99,6,49,39,Student2314
17,0,100,87,49,3,Student2315
3,33,59,97,29,20,Student2316
47,64,73,5,57,37,Student2317
1,47,48,22,28,23,Student2318
82,2,43,41,68,35,Student2319
13,14,65,23,82,22,Student2320
19,58,90,22,91,42,Student2321
37,20,42,87,13,69,Student2322
40,55,39,3,70,88,Student2323
17,15,55,19,31,37,Student2324
96,6,91,25,45,11,Student2325
94,64,68,58,1,87,Student2326
3,83,78,74,52,48,Student2327
9,99,71,37,24,49,Student2328
82,8,13,68,59,62,Student2329
37,36,10,39,1,75,Student2330
12,60,100,92,13,27,Student2331
18,14,49,6,80,4,Student2332
99,70,91,86,4,4,Student2333
86,74,55,46,48,82,Student2334
45,39,81,52,28,64,Student2335
14,30,85,35,14,5,Student2336
11,25,77,60,55,39,Student2337
16,15,79,65,65,47,Student2338
76,53,67,80,76,19,Student2339
66,47,69,10,94,54,Student2340
67,37,81,25,87,32,Student2341
7,52,22,63,39,36,Student2342
63,31,93,60,87,59,Student2343
89,40,79,56,60,98,Student2344
54,34,50,39,97,86,Student2345
60,20,8,72,69,25,Student2346
63,93,43,19,40,76,Student2347
39,77,76,89,2,14,Student2348
20,4,5,19,21,22,Student2349
70,22,15,59,84,17,Student2350
76,52,14,0,26,94,Student2351
74,93,6,23,21,56,Student2352
58,32,48,58,46,25,Student2353
13,95,82,40,46,90,Student2354
66,85,53,48,51,44,Student2355
55,89,51,48,35,87,Student2356
80,14,99,21,95,35,Student2357
72,56,21,46,91,41,Student2358
53,60,14,91,14,91,Student2359
80,96,90,38,32,7,Student2360
53,85,100,97,96,37,Student2361
50,87,47,6,26,99,Student2362
29,14,46,75,80,83,Student2363
85,5,67,13,57,65,Student2364
95,10,7,94,42,16,Student2365
49,56,4,0,54,2,Student2366
18,97,78,85,23,71,Student2367
20,51,16,86,77,37,Student2368
16,3,61,20,10,13,Student2369
10,41,43,86,12,19,Student2370
80,29,58,94,60,33,Student2371
82,100,76,35,74,91,Student2372
46,8,37,11,80,37,Student2373
99,16,59,43,68,82,Student2374
26,1,33,6,93,53,Student2375
62,80,29,3,8,50,Student2376
100,99,96,14,87,66,Student2377
47,74,94,0,55,87,Student2378
1,73,45,12,89,22,Student2379
45,93,95,28,6,83,Student2380
61,73,68,78,66,82,Student2381
41,23,2,14,41,15,Student2382
99,98,6,80,63,23,Student2383
22,59,73,70,98,81,Student2384
34,1,100,33,14,38,Student2385
70,42,16,40,6,6,Student2386
97,37,33,64,29,3,Student2387
6,64,3,94,7,80,Student2388
36,38,24,39,88,8,Student2389
4,2,94,5,39,77,Student2390
54,81,58,48,70,95,Student2391
58,100,32,40,97,19,Student2392
3,75,54,54,72,86,Student2393
28,55,15,56,25,69,Student2394
27,12,72,41,5,100,Student2395
68,25,21,6,52,9,Student2396
38,79,12,30,54,58,Student2397
70,56,73,15,49,41,Student2398
95,99,70,30,11,79,Student2399
78,94,57,43,78,86,Student2400
23,57,57,80,69,64,Student2401
6,48,83,84,87,31,Student2402
37,51,18,89,95,86,Student2403
